place_id,google_name,address,google_rating,review_count,latitude,longitude,types,search_postcode
ChIJoa7bbcOxe0gRoF7YIOAB97E,Freedman Frankl & Taylor,"31 King St W, Manchester M3 2PJ, UK",4.7,13,53.4817156,-2.2496473,"accounting, establishment, finance, point_of_interest",M3 2PJ
ChIJqXkHsS2xe0gR_bOAuEVF6dA,TR Forensic Accountants,"4th Floor, 20 St Mary's Parsonage, Manchester M3 2LY, UK",2.1,35,53.4825506,-2.249612,"establishment, point_of_interest",M3 2PJ
ChIJgRCtr9-te0gRSQlbXsqkawE,Achieve Accounting,"Station House, Stamford New Rd, Cheshire, Altrincham WA14 1EP, UK",5.0,12,53.3889381,-2.3471139,"establishment, point_of_interest",WA14 1JY
ChIJsZ8GVfyxe0gRXUlZT0kPba4,S&H Chartered Accountants and Tax Advisers,"Office 219, Citibase, 2nd Floor, Oakland House, 76 Talbot Rd, Old Trafford, Stretford, Manchester M16 0PQ, UK",5.0,133,53.4601476,-2.2835234,"accounting, establishment, finance, point_of_interest",M17 1WD
ChIJMdcMkh2ye0gRSWfZABFsivw,Sam & Co Accountants ltd,"479 Chester Rd, Old Trafford, Stretford, Manchester M16 9HF, UK",5.0,202,53.4643402,-2.2697349,"accounting, establishment, finance, point_of_interest",M17 1WD
ChIJf-G172uve0gRM3Cz-0Ml3_0,Elite Accountax Ltd,"66 Seymour Grove, Old Trafford, Stretford, Manchester M16 0LN, UK",5.0,51,53.459315,-2.2759587,"accounting, establishment, finance, point_of_interest",M17 1WD
ChIJP4KUvDWxe0gRXAknvxDmlqw,TaxAssist Accountants,"902 Chester Rd, Stretford, Manchester M32 0PA, UK",5.0,140,53.4538595,-2.2994115,"accounting, establishment, finance, point_of_interest",M17 1WD
ChIJq6JGw2Ste0gRiLgE6TJ2Lv0,Boxed Accounting,"Horton House, 2 Urmston Ln, Stretford, Manchester M32 9BP, UK",5.0,11,53.4457946,-2.3141527,"accounting, establishment, finance, point_of_interest",M17 1WD
ChIJKbyTyzVpMogR_8C3Mjt6PYM,ROCA Accountants,"Floor 4, Centenary House, Centenary Way, Salford, Manchester M50 1RF, UK",5.0,23,53.4817908,-2.3262233,"accounting, establishment, finance, point_of_interest",M50 1RF
ChIJn3e6QQqve0gRTo6-pEjx274,CoTax Accountants & Tax Advisers,"1 Centenary Way, Salford M50 1RF, UK",5.0,25,53.4817865,-2.3263742,"accounting, establishment, finance, point_of_interest",M50 1RF
ChIJCRJ3IPrux0oRrNhkKaa2V4c,Rezolution - Integrated Bookkeeping Solutions,"67 Windsor Rd, Prestwich, Manchester M25 0DG, UK",5.0,11,53.5247833,-2.2536671,"accounting, establishment, finance, point_of_interest",M25 0DB
ChIJJ9yn9WGYY0ERxohkLOEIAvE,KPMG - Manchester,"1, St Peter's Square, Manchester M2 3AE, UK",4.3,19,53.4776457,-2.2431481,"accounting, establishment, finance, point_of_interest",M2 3WQ
ChIJOSrrV-qxe0gRDxOXJxYsXvM,Cooper Parry Manchester,"79 Oxford St, Manchester M1 6HT, UK",4.5,17,53.4755867,-2.2414101,"accounting, establishment, finance, point_of_interest",M2 3WQ
ChIJ0XfEDoKxe0gRb_rweF_5OqM,Accounts and Legal,"81 King St, Manchester M2 4AH, UK",4.9,96,53.4809415,-2.2421955,"accounting, establishment, finance, point_of_interest",M11 3TQ
ChIJhYw_E8q2e0gRAKTSuoGUIFw,Chadwick & Company,"Chadwick & Company, Capital House, Droylsden, Manchester M43 6PW, UK",4.8,64,53.48033119999999,-2.1575447,"accounting, establishment, finance, point_of_interest",M43 6PW
ChIJW6GLXDi3e0gRy67i6l3G2i8,Speedwell Accountants,"Office 5, Prospect House, Featherstall Rd S, Oldham OL9 6HT, UK",5.0,21,53.5381426,-2.1291804,"accounting, establishment, finance, point_of_interest",OL9 6HZ
ChIJ157jO7a7iycR6SbcL-95xk4,Green Path Accountants,"Suite 21, Station Business Centre, 1 Victoria St, Chadderton, Oldham OL9 0HH, UK",4.9,76,53.5447723,-2.1378575,"accounting, establishment, finance, point_of_interest",OL9 6HZ
ChIJ6UNpx8m5e0gRhRl1csFXfuI,TaxAssist Accountants,"2 Middleton Rd, Royton, Oldham OL2 5PA, UK",4.8,38,53.5652233,-2.1217795,"accounting, establishment, finance, point_of_interest",OL9 6HZ
ChIJWXYmfK63e0gR-V9dci1TpNU,Semilliam Chartered Accountants,"3.15, Hollinwood Business Centre, Albert St, Hollinwood, Failsworth, Oldham OL8 3QL, UK",5.0,23,53.5167237,-2.1426458,"accounting, establishment, finance, point_of_interest",OL9 6HZ
ChIJyVEXxgeze0gRjLpU8EzfN0I,Houghtons Accountants Heaton Moor / Heaton Mersey,"3 Buckingham Rd W, Heaton Moor, Stockport SK4 4AZ, UK",5.0,11,53.4243731,-2.1884878,"accounting, establishment, finance, point_of_interest",M16 0LN
ChIJzQ69PoXJe0gRbA1eXxdVDYM,Thomas & Co International Limited,"Cubo, No.1, Spinningfields, Hardman Sq, Manchester M3 3EB, UK",5.0,134,53.4795696,-2.2529189,"accounting, establishment, finance, point_of_interest",M8 8AW
