name,company_number,address_line1,locality,postcode,sic_codes,search_city,search_sic,latitude,longitude
B&N BOOKKEEPING LIMITED,06752570,11 Clevedon Avenue,Manchester,M41 9PR,"69201, 69202",Manchester,69201,53.449295,-2.330903
GRAMOSOL LIMITED,08695449,53 Horse Chestnut Drive,Manchester,M9 7FU,"69201, 69203, 85410, 96090",Manchester,69201,53.52404,-2.203197
HILKO CONSULTING LIMITED,09600319,37 Morville Road,Manchester,M21 0TR,"62020, 62090, 69201, 69202",Manchester,69201,53.446432,-2.264076
ADROIT CONSULTANCY LIMITED,12854222,315 Dickenson Road,Manchester,M13 0NR,"69201, 69203, 70229",Manchester,69201,53.455727,-2.203895
BEESLEY CORPORATE RECOVERY (CHESTERFIELD) LIMITED,09669985,Suite 4c Manchester International Office Centre,Wythenshawe,M22 5WB,69201,Manchester,69201,53.364067,-2.239702
HORSFIELDS LTD,05054945,Belgrave Place,Bury,BL9 0ED,69201,Manchester,69201,53.591294,-2.300012
BYAS CONSULTING LIMITED,11082553,"41,Circular Road Prestwich",Manchester,M25 9NR,"69201, 69202, 69203, 70221",Manchester,69201,53.518809,-2.275248
TAX EXPERT ACCOUNTANT LIMITED,11260546,2a Esmond Road,Manchester,M8 9NA,"69201, 69202, 69203",Manchester,69201,53.50835,-2.239987
PROSURE ASSOCIATES LIMITED,13942165,Office 1 916 Stockport Road,Manchester,M19 3AB,69201,Manchester,69201,53.444538,-2.191917
BAN-COLE ACCOUNTANTS LTD,16073414,1 Salcombe Road,Manchester,M11 1DQ,"69201, 69203",Manchester,69201,53.477033,-2.166797
SCULLARD (ALDERLEY EDGE) LIMITED,15277640,197-201 Manchester Road,Altrincham,WA14 5NU,69201,Manchester,69201,53.401539,-2.352476
WILDS LTD,03666585,Lancaster House,Radcliffe,M26 2JW,"69201, 69203",Manchester,69201,53.561964,-2.327734
THE TAX ROOM LIMITED,10528636,Lancaster House 70-76 Blackburn Street,Manchester,M26 2JW,69201,Manchester,69201,53.561964,-2.327734
SRA ACCOUNTANTS LIMITED,12946105,14 The Downs,Cheadle,SK8 1JL,"69201, 69202, 69203",Manchester,69201,53.383399,-2.218012
QUALITAX LIMITED,10775896,"Office 6, 163 Kingsway",Manchester,M19 2ND,"69201, 70210, 78109, 94990",Manchester,69201,53.435931,-2.206088
PRESTIGE ASSOCIATES GROUP LTD,13599218,1st Floor 184 Cheetham Hill Road,Manchester,M8 8LQ,"69201, 69202",Manchester,69201,53.494969,-2.238419
FARO FINANCE LTD,14700709,481 Chester Road,Manchester,M16 9HF,"69201, 69202, 69203, 70221",Manchester,69201,53.464144,-2.27015
LIANCO LIMITED,05249936,26 Oregon Close,Manchester,M13 9SA,69201,Manchester,69201,53.467141,-2.224451
CH ACCOUNTANCY SERVICES (HIGH PEAK) LIMITED,08837579,6 Manchester Road,Buxton,SK17 6SB,69201,Manchester,69201,53.261099,-1.918408
ACCOUNTABULL LIMITED,16017573,84 Kings Road,Manchester,M16 9NG,"69201, 69202",Manchester,69201,53.455923,-2.268653
ATR ACCOUNTANTS LIMITED,09998469,45 Edilom Road Crumpsall,Manchester,M8 4HY,69201,Manchester,69201,53.519711,-2.253128
SCULLARD & CO LIMITED,07075645,197-201 Manchester Road,Altrincham,WA14 5NU,69201,Manchester,69201,53.401539,-2.352476
NAHK LIMITED,08294144,21 Harvard Grove,Salford,M6 8GT,69201,Manchester,69201,53.490413,-2.312669
ASSURACC LIMITED,12309865,10th Floor 3 Hardman Street,Manchester,M3 3HF,69201,Manchester,69201,53.47988,-2.250781
A. PATEL & CO (NW) LIMITED,04970208,341 Derby Street,Greater Manchester,BL3 6LR,69201,Manchester,69201,53.566922,-2.44328
KW ACCOUNTANCY LTD,14021455,10 Park Place,Manchester,M4 4EY,"69201, 69202",Manchester,69201,53.490756,-2.241907
LANCHESTER HYDE LIMITED,03674526,55 Porchfield Square,Manchester,M3 4FG,69201,Manchester,69201,53.476893,-2.251939
PRIME TAX UK LTD,16118311,562-564 Manchester Road,Bradford,BD5 7LR,69201,Manchester,69201,53.780765,-1.760025
FHT LTD,13089046,7e Windsor Road,Manchester,M19 2FA,"62012, 69201, 74209, 98000",Manchester,69201,53.445143,-2.195714
ECCO ACCOUNTANTS LTD,09351776,23 Hilton Crescent,Manchester,M25 9NQ,"69201, 69202",Manchester,69201,53.519962,-2.274109
EDWARD AVENUE LIMITED,14694575,Bartle House,Manchester,M2 3WQ,69201,Manchester,69201,53.476469,-2.243906
NABARRO POOLE LTD.,04398765,31 Church Road,Manchester,M22 4NN,69201,Manchester,69201,53.407319,-2.257441
AKL GROUP LTD,12260236,Office 203 Oakland House,Manchester,M16 0PQ,69201,Manchester,69201,53.460203,-2.283606
SUMMIT ACCOUNTANTS LIMITED,10527788,M.01 Tomorrow,Salford,M50 2AB,"69201, 69202, 69203",Manchester,69201,53.473677,-2.301759
JOLEY ASSOCIATES LIMITED,04312711,94 Crab Lane,Manchester,M9 8WB,69201,Manchester,69201,53.529968,-2.23056
ATS ACCOUNTING AND TAX SOLUTIONS MCR LTD,13069291,04 Westdale Gardens,Manchester,M19 1JD,"69201, 69202",Manchester,69201,53.427958,-2.195063
J&P ACCOUNTANTS LIMITED,08826783,Second Floor 16 Nicholas Street,Manchester,M1 4EJ,69201,Manchester,69201,53.478346,-2.240225
A & CO ACCOUNTANTS (NMN) LTD,07869294,42 Milton Road,Manchester,M32 0TQ,"69201, 69202, 69203",Manchester,69201,53.45291,-2.295996
ACCOUNTS & TAX ADVICE LIMITED,11542131,605 Oldham Road,Manchester,M35 9AN,69201,Manchester,69201,53.514994,-2.151021
ACORN ACCOUNTANCY & PAYROLL LTD,14737299,Acorn Business Centre Unit C Aldow Enterprise Park,Manchester,M12 6AE,69201,Manchester,69201,53.47621,-2.219903
CONTACS LIMITED,04628868,66 Windsor Road,,M19 2EB,69201,Manchester,69201,53.445439,-2.196212
TAMEN ACCOUNTANTS LIMITED,13855867,Michael Sohor & Co,Bolton,BL1 2DD,69201,Manchester,69201,53.582039,-2.431294
CNA & CO ACCOUNTANTS LTD,11759036,C N A & Co Accountants,Manchester,M12 4QL,69201,Manchester,69201,53.449238,-2.192541
DEL VIGNA ACCOUNTANCY SOLUTIONS LTD,12394762,Gregs Buildings,Manchester,M2 4AD,"69201, 69203",Manchester,69201,53.480461,-2.243416
INSIGHT ACCOUNTING & TAX SOLUTIONS LTD,15245915,4 Westdale Gardens,Manchester,M19 1JD,"69201, 69202",Manchester,69201,53.427958,-2.195063
PROACC ACCOUNTANTS LIMITED,16108511,5 Harrison Avenue,Manchester,M19 3DD,69201,Manchester,69201,53.447367,-2.187699
LINTO ACCOUNTANCY LTD,15382393,Bartle House,Manchester,M2 3WQ,69201,Manchester,69201,53.476469,-2.243906
JY BELTIN LIMITED,14744222,34 Shrewsbury Close,Manchester,M24 6DA,"58290, 69201, 69202, 70229",Manchester,69201,53.563563,-2.191822
INQUESTA FORENSIC ACCOUNTING LIMITED,07895555,St John's Terrace,Manchester,M26 1LS,69201,Manchester,69201,53.556897,-2.319981
BLUELINE MANAGEMENT LIMITED,07052576,29 Kingfisher Avenue,Manchester,M34 5QH,69201,Manchester,69201,53.48096,-2.132155
ZERO ONE CONSULTANTS LTD,08114008,15 Holborn Drive,Manchester,M8 8US,"69201, 69202, 69203, 82110",Manchester,69201,53.500437,-2.232555
LC DEBT SOLUTIONS LIMITED,05033119,Riverside House,Manchester,M3 5EN,69201,Manchester,69201,53.480686,-2.256406
REACT ACCOUNTANCY LIMITED,07861330,Suite A 8th Floor St James House,Salford,M6 5FW,"69201, 69202",Manchester,69201,53.48872,-2.289025
PENNINE CONSULT LTD,14061151,The Bee Hive 113a,Manchester,M8 8HW,69201,Manchester,69201,53.494869,-2.243649
COMPANY MATTERS LTD,07896442,77 School Lane,Manchester,M20 6WN,"69201, 69203",Manchester,69201,53.417118,-2.225361
MCKENNA STOCKTAKE UK LTD,14056842,5 Woodend Manor Manchester Road,Ashton-Under-Lyne,OL5 9FH,69201,Manchester,69201,53.521135,-2.035826
ATP ACCOUNTANCY LTD,13890040,Suite 2 Parkway 5 Parkway Business Centre,Manchester,M14 7HR,"69201, 69202, 69203",Manchester,69201,53.44852,-2.245915
STERLING PARTNERS LIMITED,06974542,Grove House 2nd Floor 774-780 Wilmslow Road,Manchester,M20 2DR,"69201, 69203",Manchester,69201,53.415639,-2.232319
DAVID RUBIN & PARTNERS LTD,08977557,340 Deansgate,Manchester,M3 4LY,69201,Manchester,69201,53.474988,-2.251792
PERK CONSULTANTS LIMITED,13927291,61 Linford Avenue,Manchester,M40 0FB,"69201, 69202, 69203",Manchester,69201,53.520179,-2.178293
212 ACCOUNTING LTD,13070341,Whitecroft Cottage,Baxenden,BB5 2QF,"69201, 82990",Manchester,69201,53.736859,-2.348864
