place_id,name,address,country,suburb,city,rating,reviews,longitude,latitude,postcode,outward_code,flag_hospitality,flag_construction,flag_healthcare,flag_media,flag_professional_services,flag_real_estate,place_id,Badge,claimed,specialisms,fees,client_type,focus_area,client_portal,accreditations,submitted_entry,firm_slug,city_slug,specalist_segments,bio,website
ChIJH1Sk4OJBiEgRiC_5DZKnoKY,Lockhart Amin Accountants,"13 Granville St, Glasgow G3 7EE, UK",GB,,Glasgow,4.3,18,-4.27386,55.86507,G3 7EE,G3,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJ9yTG4i9EiEgRmTIhS2i7AYA,Tax Kings,"4th Floor, 176 Bath St, Glasgow G2 4HG, UK",GB,,Glasgow,5,21,-4.2616,55.86459,G2 4HG,G2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJxeD-nYFGiEgRf-Eg1cR-1p8,K A Javid & Co Accountants,"Javid House, 115 Bath St, Glasgow G2 2SZ, UK",GB,,Glasgow,4.4,13,-4.2594,55.86396,G2 2SZ,G2,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJ43i8NUrgFwgRZD5J-PLoNGM,McLaren Insolvency Practitioners,"250 W George St, Glasgow G2 4QY, UK",GB,,Glasgow,5,23,-4.26177,55.86309,G2 4QY,G2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def2705359b17543ce8515_glasgow.png,,,,,,,,,,,,,
ChIJD1OTlZdFiEgRz6d-sXWzKfY,Harper McDermott,"First Floor, THE REEL HOUSE, 7 W Regent St, Glasgow G2 1RW, UK",GB,,Glasgow,4.3,16,-4.25576,55.86292,G2 1RW,G2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,
ChIJlTxIYEJHiEgRySZuVX1_Oik,1 Accountant,"Office 2/3, 48 W George St, Glasgow G2 1BP, UK",GB,,Glasgow,4.9,29,-4.25323,55.86212,G2 1BP,G2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJh7buPF5rsUURn6RVizl25Pg,Peak Chartered Accountants,"48 W George St, Glasgow G2 1BP, UK",GB,,Glasgow,5,13,-4.25323,55.86212,G2 1BP,G2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJF0dIz55GiEgR3a773uT7HCI,ValueAdd Business Solutions Ltd,"22 Montrose St, Glasgow G1 1RE, UK",GB,,Glasgow,5,14,-4.2456,55.86034,G1 1RE,G1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,,,,,,,,,,,,
ChIJk3E8c55GiEgR9gSXUqqR7_A,525 Accountancy,"4/1, 91 Mitchell St, Glasgow G1 3LN, UK",GB,,Glasgow,3,10,-4.25584,55.86017,G1 3LN,G1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,,,
ChIJi_TGxfW_h0gR2vYn3ne_Z7Y,JWD Accounting and Tax Services,"22 Archibald Hood Crescent, Rosewell EH24 9FA, UK",GB,Rosewell,Edinburgh,5,94,-3.13221,55.85742,EH24 9FA,EH24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,https://cdn.prod.website-files.com/652d1737a649f74737889bff/69def3ac14b452879c22909d_rosewell.png,,,,,,,,,,,,,
